mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.48850622177124026,0.029435800047822033,0.013442516326904297,0.0012413163618832,0.8,1,1.0,1.0,100,3,4,0.1,0.1,0.7,"{'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.5344137514985535,0.5439357940782421,0.5364862921354967,0.5289677333465006,0.5248649893461762,0.5337337120809937,0.006534377153014235,47
5.02934422492981,0.30088756088320934,0.14319157600402832,0.010274931284359927,0.7,1,1.0,1.0,300,1,8,0.1,0.1,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.6244556921793785,0.6424447501101035,0.6072023089902753,0.6205724404987968,0.6137150169641932,0.6216780417485495,0.011942784221599436,5
1.0293619155883789,0.04365182867317749,0.024784326553344727,0.004056514745360415,0.9,1,1.5,0.0,100,1,6,0.05,0.2,0.8,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.5526504921772908,0.5682018716375942,0.5419402203508632,0.5424570775908246,0.5366296704572416,0.5483758664427629,0.011187185788928806,39
1.5662615299224854,0.131285300169826,0.030681324005126954,0.0015777646183744614,0.8,1,1.0,1.0,300,3,4,0.1,0.1,0.9,"{'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.560723609766953,0.5707700437966654,0.5568218988438804,0.5611629707839653,0.5465730522834188,0.5592103150949767,0.007811980494311313,34
1.8009820461273194,0.15612260609176082,0.06592540740966797,0.03046285356868499,0.7,1,2.0,1.0,100,5,10,0.1,0.1,0.7,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6015602956103691,0.6102155423707019,0.5946090783414417,0.6032478404686561,0.5958672773343743,0.6011000068251086,0.005611268197340846,18
1.1033112049102782,0.10074648140720191,0.024262332916259767,0.0019220456878473065,0.7,1,1.5,1.0,200,5,4,0.05,0.1,0.9,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1.5, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.5331014863964475,0.5466425435271981,0.5338648114891886,0.5333152377139672,0.5206626027787854,0.5335173363811173,0.008220094313889523,48
7.692837572097778,0.538446931926497,0.2469015598297119,0.008250798515315018,0.9,1,2.0,0.0,300,1,10,0.1,0.0,0.9,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",0.6373510515199367,0.648484248902263,0.6326845135377361,0.6303374064294799,0.6377102451713532,0.6373134931121538,0.006245603974913683,1
2.913293695449829,0.22149141000578784,0.09669127464294433,0.006733682078654585,0.7,1,2.0,0.5,200,3,8,0.2,0.1,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.6048237450764956,0.615648664704347,0.6018629166975246,0.6250913893201768,0.6046345923567676,0.6104122616310623,0.008724688936296077,13
1.7152307033538818,0.31786561572017247,0.03521113395690918,0.0032814730733331495,0.9,1,2.0,0.5,300,5,4,0.2,0.1,0.8,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.5605927332706169,0.5801676317939463,0.5559238152065156,0.5573239989003392,0.5526606135362427,0.5613337585415321,0.0097553370386793,33
0.9763228416442871,0.06494055090745607,0.023454952239990234,0.002280637746655173,0.9,1,1.0,1.0,200,3,4,0.2,0.0,0.7,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.7}",0.5541952702103464,0.5572173725583972,0.5597890078497628,0.5617654382855272,0.5473868281325088,0.5560707834073085,0.00502986247992087,36
2.2064416885375975,0.17280305184181077,0.05224266052246094,0.007194084221846225,0.7,1,1.0,0.0,400,3,4,0.05,0.0,0.7,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.5412139869586677,0.55603855820049,0.5477688322286838,0.5399078188662108,0.5411687764419905,0.5452195945392087,0.006069885792135726,41
2.683113861083984,0.3182531445108442,0.0809164047241211,0.014531648717964725,0.9,1,1.0,0.0,100,1,10,0.2,0.1,0.8,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.6334237779675198,0.6134580534831976,0.6171988152169842,0.6221010500176162,0.6239217066154664,0.6220206806601568,0.006785572306611014,4
2.357500505447388,0.2916942474383677,0.07890357971191406,0.006263525066545778,0.7,1,1.0,0.5,300,5,6,0.1,0.0,0.7,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.5980749777973237,0.6078152458816568,0.5879975366755393,0.5834072023424223,0.5746081035163201,0.5903806132426523,0.0115433897771204,23
6.389427518844604,0.9291984037126703,0.21130576133728027,0.009280124069710103,0.8,1,2.0,1.0,300,5,10,0.05,0.0,0.7,"{'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 1, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.6133458656963605,0.6218849442136808,0.6066052498160731,0.6189471579928341,0.6087204357218762,0.613900730688165,0.005823769679757003,9
1.024984645843506,0.17856267026934006,0.02219219207763672,0.0032499802802223197,0.7,1,2.0,0.5,100,3,6,0.05,0.2,0.9,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.5508230655861858,0.5666503762164797,0.5410797326236446,0.541544054002423,0.5379138336761008,0.5476022124209667,0.01045289575119939,40
4.119772338867188,0.8690905683984493,0.12537541389465331,0.012551672989552296,0.7,1,1.0,0.0,300,1,10,0.2,0.2,0.7,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.6122408463644814,0.6372852399877302,0.6144520612198675,0.6206002147237549,0.6167329604825418,0.6202622645556751,0.008949340788220508,6
5.053365707397461,0.9845444480822044,0.19927535057067872,0.05207264105403409,0.8,1,1.0,1.0,400,5,8,0.2,0.0,0.7,"{'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.7}",0.6080502129956575,0.6159885244408956,0.6021084535496276,0.6106207948993,0.6038416429988486,0.6081219257768659,0.004952081038159911,16
